Gender,Age,Occupational Sector ,Streams,Mode,Stage_Phd,Year_completion,Type_University,ING1,ING2,ING3,IDN1,IDN2,IDN3,INR1,INR2,INR3,EXT1,EXT2,EXT3,EXT4,EXT5,INT1,INT2,INT3,SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,Methodology,Method,survey,perspectives,critical_analysis,career_mgmt,scholarly_perspective,Communication,Flexible,Execution,Network,Project_mgmt,Pedagogy,Team_work,PHD_Track,Guiding_Research,Teaching_RM,Data_Analysis,Getting_Funds,Suggestion_Improve
Female,30-40,Academics,Mgmt,Full Time,Completed Ph.D,Jul-12,State Univ. ,4,5,5,5,5,4,1,1,1,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,Mixed Research Method,Survey;Interview,4,4,5,5,5,5,4,5,4,5,4,4,On Track,5,4,5,3,"Scholars should join Ph.D program because of their passion for research & not just because they couldn't join any other profession or for adding ""Dr."" to their names. Decision should be by choice & not by chance."
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2021,State Univ. ,2,3,3,5,5,5,1,1,1,1,1,1,1,1,5,5,5,3,3,3,3,3,3,3,2,Quantitative research approach  (psychometrics),Survey;Interview;Content Analysis,3,3,3,3,4,3,3,3,4,4,4,4,Delayed >3 yrs,3,3,3,3,The Phd program should be more student focused and getting access to the University for both documentation work and well as for the technical aspects of the work is imperative. 
Male,30-40,Academics,Mgmt,Part time,First stage (Coursework),No,Pvt Univ. ,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,Mixed Research Method,Survey,2,2,2,2,2,2,2,2,2,2,2,2,Delayed 1 yr,4,4,4,4,No comments
Female,30-40,Academics,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",Pursuing ,Pvt Univ. ,4,4,4,5,4,4,5,4,4,5,4,2,1,3,4,4,4,4,4,4,4,4,4,2,2,Qualitative research approach,Survey,4,5,4,4,4,4,4,4,5,4,4,5,On Track,4,4,1,1,No
Female,41-50,Academics,Mgmt,Full Time,Third stage (Data collection and analysis),Nil,Pvt Univ. ,4,4,4,5,5,4,2,4,5,2,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,Mixed Research Method;Machine Learning / AI approach,Case Study;Survey;Interview;Content Analysis,4,4,4,4,4,4,4,4,4,4,4,4,On Track,5,5,4,3,More information of the administrative processof the study during orientation phase explained by a senior students. 
Male,41-50,Academics,Mgmt,Part time,Third stage (Data collection and analysis),2023,State Univ. ,5,4,4,4,5,4,2,2,4,3,4,5,4,3,4,4,5,4,5,5,4,5,4,3,3,Qualitative research approach;Quantitative research approach  (psychometrics),Experimental;Survey;Interview,3,3,2,3,3,2,3,2,3,3,3,3,On Track,4,4,2,2,More insights and training needed
Male,GT 50yrs,Academics,Mgmt,Part time,Completed Ph.D,2022,Pvt Univ. ,4,3,4,4,4,4,2,3,3,2,3,3,3,3,4,3,3,3,3,3,2,2,2,2,2,Qualitative research approach,Survey,4,4,3,3,4,2,2,2,3,3,3,3,On Track,4,3,4,3,Change in the process 
Female,LT 30yrs,Academics,Soc.Science,Full Time,First stage (Coursework),Pursuing ,Central Univ. ,5,4,4,5,5,5,3,3,3,4,4,4,1,4,5,5,5,5,4,4,4,1,4,3,1,Mixed Research Method,Survey;Interview;Content Analysis,4,4,4,4,4,4,3,3,3,3,3,3,On Track,5,5,5,5,Frame the programme more accurately 
Female,GT 50yrs,Academics,Mgmt,Full Time,Completed Ph.D,2017,Pvt Univ. ,5,5,5,4,4,4,1,1,4,5,4,3,3,3,5,4,4,4,4,4,4,4,4,4,4,Quantitative research approach  (psychometrics),Survey,3,5,5,5,5,4,5,4,5,5,4,4,On Track,5,5,4,3,"1) Primarily focus more on conducting the research study rather than on publications. 2) Co-research guide, where along with the faculty a corporate professional can be a co-guide for PhD students so that the research work has practical relevance from an industry and long term perspective."
Female,41-50,Academics,Others,Part time,Completed Ph.D,2017,State Univ. ,5,5,5,5,5,5,1,1,4,5,3,1,1,1,5,5,5,5,4,5,5,4,5,5,5,Mixed Research Method,Case Study;Survey;Interview;Content Analysis,5,5,5,5,5,5,4,5,5,5,5,5,On Track,5,5,4,3,Part time scholars to be provided with stiphands. Universities should ensure quality of research.
Female,GT 50yrs,Academics,Soc.Science,Part time,Completed Ph.D,2014,Pvt Univ. ,5,5,5,5,5,4,1,1,1,1,5,4,3,1,1,5,4,5,4,3,4,3,4,5,5,Qualitative research approach;Quantitative research approach  (psychometrics),Case Study;Survey;Interview,5,5,5,5,5,5,5,4,5,5,5,5,Delayed 1 yr,5,5,5,4,pH D must always carry a rigor.
Male,LT 30yrs,Academics,Soc.Science,Full Time,First stage (Coursework),0,Central Univ. ,4,4,3,5,5,4,2,2,5,2,4,3,3,3,3,5,4,4,4,4,4,5,5,3,4,Qualitative research approach,Interview,2,4,4,4,5,4,4,4,4,4,4,4,Delayed 1 yr,4,4,4,5,"they need to work more of supervisor selection ,"
Male,41-50,Academics,Soc.Science,Part time,Completed Ph.D,2018,State Univ. ,5,4,5,5,5,5,2,4,4,3,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,Qualitative research approach;Quantitative research approach  (psychometrics);Quantitative research approach  (econometrics),Case Study;Survey;Interview,5,4,4,4,5,4,4,5,5,5,2,3,On Track,5,4,4,4,"Articles should publish in SCOUPS, ABDC, Web of Science indexed journals and plagiarism checking strictly initiate and university should provide one year teaching opportunity as a course work of PHD with staifund  and leave facilities. "
Female,GT 50yrs,Academics,Soc.Science,Part time,"Final stage (Thesis writing, submission and viva)","2022, May 6th",Excell.Instt.,5,5,5,5,5,5,3,4,3,4,4,4,3,1,4,4,4,5,3,4,4,3,3,3,4,Qualitative research approach,Phenomenology;Interview;Content Analysis,5,5,5,5,5,4,4,4,4,4,4,4,On Track,4,5,3,2,Make Hybrid PhD programs available 
Male,30-40,Academics,Mgmt,Full Time,Completed Ph.D,2021,Excell.Instt.,5,3,4,5,5,5,1,3,4,2,4,2,1,1,4,5,5,4,2,3,3,4,4,3,2,Quantitative research approach  (psychometrics);Mixed Research Method;Machine Learning / AI approach,Survey;Interview;Content Analysis;Others,5,5,4,4,5,4,4,4,5,4,2,4,Delayed 1 yr,3,2,4,3,Indian researchers should be rigorously trained on mixed methods 
Male,41-50,Industry,Mgmt,Part time,Completed Ph.D,2022,State Univ. ,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,Qualitative research approach;Quantitative research approach  (psychometrics);Quantitative research approach  (econometrics),Case Study;Survey;Interview;Content Analysis,3,3,3,3,3,3,3,3,3,3,3,3,On Track,5,5,3,1,Quality of guide & scholar needs to be improved in State University
Male,GT 50yrs,Academics,Soc.Science,Full Time,Completed Ph.D,1980,Central Univ. ,1,1,1,2,1,3,1,2,1,1,4,4,1,2,3,3,3,4,2,3,2,2,2,3,3,Quantitative research approach  (econometrics),Survey;Others,3,5,4,4,3,2,2,4,3,4,3,2,Delayed 1 yr,4,4,5,4,students should be given time to learn on their own....
Male,41-50,Industry,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",Not Applicable,State Univ. ,5,5,5,5,5,5,1,1,1,4,1,1,1,1,4,5,5,4,4,4,4,3,3,1,1,Qualitative research approach;Quantitative research approach  (econometrics);Mixed Research Method,Case Study;Survey;Interview;Content Analysis,5,5,5,2,4,4,4,4,5,5,4,4,Delayed 1 yr,5,5,3,4,There should be more participation from the people from academic background. Some perks in the relevant industry also encourage people to take up the Ph.D seriously and sincerely.  
Male,30-40,Others,Mgmt,Part time,Third stage (Data collection and analysis),Not completed,Pvt Univ. ,3,5,2,5,5,5,1,3,4,5,3,3,3,2,3,2,4,2,2,2,2,2,2,3,2,Mixed Research Method,Experimental;Interview,3,3,3,3,3,3,3,3,3,3,3,3,Delayed 1 yr,4,4,4,3,Better access to research tools and databases and publication
Female,30-40,Academics,Soc.Science,Full Time,First stage (Coursework),Not completed yet,State Univ. ,5,3,5,5,5,5,2,4,5,5,5,3,1,5,5,5,4,5,1,3,4,2,4,2,2,Quantitative research approach  (psychometrics);Mixed Research Method,Survey;Content Analysis,5,5,5,4,5,2,3,2,5,2,5,4,Delayed 1 yr,5,5,3,2,It' should be timely process.. should be provide funds for phd  each and every student in state university also.
Female,30-40,Academics,Soc.Science,Part time,"Final stage (Thesis writing, submission and viva)",Not completed ,State Univ. ,4,3,2,4,4,4,1,1,2,4,3,3,2,5,4,3,3,3,2,3,4,3,3,1,4,Mixed Research Method,Survey,4,4,4,3,4,4,4,4,3,3,3,3,On Track,4,3,3,3,Nil
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2020,State Univ. ,4,5,4,5,5,4,1,1,1,2,5,5,5,2,5,5,5,5,3,4,5,5,5,4,5,Quantitative research approach  (econometrics),Survey,3,4,5,5,5,5,2,5,2,4,4,3,On Track,5,5,5,3,Have a Tie up with industry for practical application of the output of phd
Male,GT 50yrs,Academics,Mgmt,Part time,Completed Ph.D,2019,State Univ. ,3,3,3,3,3,4,1,1,5,3,5,5,5,3,3,4,4,3,2,4,3,2,2,3,2,Quantitative research approach  (econometrics),Survey,5,4,4,4,4,3,3,3,3,3,3,2,Delayed >3 yrs,5,2,2,2,Part time PhD should be abandoned and only full time PhD should be recognized
Female,41-50,Academics,Others,Part time,Completed Ph.D,2011,State Univ. ,4,3,4,4,4,5,1,3,5,4,4,4,4,3,4,4,3,4,4,5,5,4,2,4,3,Mixed Research Method,Survey;Interview;Content Analysis,4,4,4,5,5,4,3,4,3,4,4,4,On Track,4,3,3,3,Rrsearch thought process should begin at early stages of UG programme in universities
Female,41-50,Academics,Mgmt,Part time,Completed Ph.D,2016,State Univ. ,4,4,3,3,5,5,1,4,2,2,5,5,4,1,4,4,5,3,1,2,2,2,5,1,2,Quantitative research approach  (psychometrics),Survey,2,4,5,3,4,4,4,4,4,4,1,2,On Track,5,5,4,4,"The coursework should strengthened discussing various types of research and methodology, with hands on experience not just theory. The scholar should encouraged to publish a paper for every objective before submitting the thesis. This exercise will help to develop well tested research acumen. "
Male,41-50,Academics,Soc.Science,Part time,Completed Ph.D,2010,State Univ. ,4,2,3,4,4,4,1,1,1,1,3,1,1,1,2,1,3,3,2,2,4,2,2,2,3,Quantitative research approach  (econometrics),Stylised facts;Others,4,4,4,5,4,3,2,3,4,4,2,2,On Track,4,4,4,4,Conduct courses in broad research methodology applicable to research area like those in IITs. Make journal and time series databases available. Facilitate network of professionals for developing perspectives on research topic and genuine discussions that would help in formulation of research problem. 
Male,41-50,Industry,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)",Na,Pvt Univ. ,4,3,3,5,4,4,3,2,4,4,3,2,4,5,5,4,4,3,3,4,3,3,3,3,4,Quantitative research approach  (psychometrics),Survey,5,4,4,4,4,4,4,4,4,4,3,3,On Track,3,4,3,3,Allow students to work towards their area of interest.
Female,LT 30yrs,Others,Soc.Science,Full Time,Completed Ph.D,2021,State Univ. ,5,5,4,4,3,4,1,1,1,1,1,1,1,1,5,5,5,5,4,5,5,3,3,3,3,Mixed Research Method,Case Study;Survey,5,5,5,3,5,5,3,4,5,5,3,5,On Track,5,5,5,5,Focus on quality rather than quantity 
Male,41-50,Academics,Mgmt,Part time,Completed Ph.D,2019,Pvt Univ. ,5,2,3,2,2,4,1,1,1,2,4,4,4,3,2,3,2,3,2,2,2,2,3,2,2,Quantitative research approach  (psychometrics),Survey,3,2,2,3,3,2,1,2,3,2,2,2,Delayed >3 yrs,5,4,4,1,Presently it's rigorous. But fails to check truly the comprehension and understanding levels of scholars.
Male,GT 50yrs,Academics,Others,Part time,Third stage (Data collection and analysis),No,State Univ. ,1,3,2,1,1,1,5,5,5,5,3,3,5,5,3,3,2,4,4,4,5,5,5,5,5,Qualitative research approach;Quantitative research approach  (psychometrics);Quantitative research approach  (econometrics);Mixed Research Method,Survey;Content Analysis;Others,5,5,5,5,5,5,5,5,5,5,5,5,Delayed >3 yrs,2,4,4,3,PhD must not be made compulsory.  Universities must encourage the students to do PhD and The thesis must be submitted to the  Committee which is Autonomous ..................... 
Male,41-50,Industry,Mgmt,Part time,Completed Ph.D,2017,State Univ. ,5,4,3,5,5,5,3,1,4,4,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,Quantitative research approach  (psychometrics),Survey,3,4,4,4,5,5,4,5,4,5,5,4,Delayed 3 yrs,4,5,4,5,Proper course work needed 
Female,41-50,Academics,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)",Expected to complete by 2023,State Univ. ,2,4,3,5,5,4,1,3,2,4,5,4,4,4,4,4,4,5,3,4,5,5,4,4,3,Quantitative research approach  (psychometrics),Case Study;Survey;Interview,4,5,4,4,3,5,3,4,5,3,2,4,On Track,4,4,5,3,Pacing up of processes
Female,30-40,Academics,Mgmt,Part time,Third stage (Data collection and analysis),NA,Pvt Univ. ,4,4,4,4,5,5,2,2,2,4,4,4,3,5,5,5,4,5,3,4,4,3,3,4,4,Mixed Research Method,Survey;Interview,4,4,4,4,4,4,4,4,5,4,4,4,On Track,4,4,3,3,More learning aspects of analysis is required by making mandatory as course work 
Female,30-40,Academics,STEM,Part time,"Final stage (Thesis writing, submission and viva)",Not Yet,Pvt Univ. ,5,5,5,5,5,5,1,1,1,1,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,Qualitative research approach,Experimental,1,2,2,2,2,2,1,2,2,2,2,2,Delayed 2 yrs,5,5,1,1,To provide  opportunities for the Research Scholar to select their Research Supervisor based on their topics related.
Male,30-40,Academics,Soc.Science,Full Time,Completed Ph.D,2016,Pvt Univ. ,5,5,5,5,5,5,1,1,1,1,4,3,2,1,4,4,4,4,4,4,4,4,4,1,2,Quantitative research approach  (econometrics),Others,5,5,5,5,5,5,5,5,5,4,5,5,On Track,5,5,5,5,contribution to literature should be most important part of PhD programme 
Female,30-40,Academics,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",No ,Pvt Univ. ,5,5,5,5,5,5,1,1,1,4,5,5,5,2,2,5,5,5,5,5,5,5,5,5,3,Quantitative research approach  (econometrics),Experimental;Survey;Ethnography,4,5,5,5,5,5,5,5,5,5,5,5,On Track,5,5,5,1,Quality levels
Female,30-40,Academics,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",Not yet,Pvt Univ. ,4,5,4,4,4,4,1,3,3,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,Mixed Research Method,Survey,3,5,5,5,5,5,5,5,5,5,5,5,On Track,4,4,3,1,A strong schedule and system or syllabus is needed on immediate basis so as to encourage scholars to stick to research work. 
Male,GT 50yrs,Industry,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",not completed,Pvt Univ. ,4,3,4,4,4,4,2,1,1,4,2,1,1,4,4,4,4,2,2,2,2,2,2,2,2,Qualitative research approach,Case Study;Content Analysis,1,1,1,1,1,1,1,1,1,1,1,1,Delayed 1 yr,1,1,1,1,focus on real research
Female,LT 30yrs,Others,Mgmt,Full Time,Third stage (Data collection and analysis),NA,Pvt Univ. ,5,5,5,5,5,3,1,1,1,1,4,5,5,5,4,4,5,5,5,5,5,5,5,2,2,Qualitative research approach;Machine Learning / AI approach,Experimental;Interview;Content Analysis,5,5,5,5,5,5,3,5,5,5,5,5,On Track,5,5,5,5,"1. No discrimination among scholars
2. Treating all scholars equally
3. If any scholar is not aware of these methodologies, try to explain him/her as many times till he/she can understand the concepts. 
4. More cultural activities and skill development programmes should be conducted in campuses
"
Male,30-40,Academics,Mgmt,Full Time,"Final stage (Thesis writing, submission and viva)",5 years ,Central Univ. ,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Quantitative research approach  (econometrics),Content Analysis,5,5,5,5,5,5,5,5,5,5,5,5,Delayed 1 yr,5,5,5,5,Read more literature and improve writting skills.
Male,41-50,Academics,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",No,Pvt Univ. ,5,5,4,5,5,5,4,4,5,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,Mixed Research Method,Survey;Ethnography;Interview;Content Analysis;Others,5,5,5,5,5,5,5,5,5,5,5,5,On Track,3,3,3,2,Bring in resourceful faculty who can articulate the concepts clearly with simple examples 
Female,30-40,Academics,Mgmt,Part time,First stage (Coursework),-,Pvt Univ. ,5,5,5,5,5,5,1,1,1,3,5,4,4,3,5,4,4,5,4,5,5,5,5,3,3,Mixed Research Method,Case Study;Content Analysis,2,2,2,2,2,2,2,2,2,2,2,2,On Track,2,2,3,2,Reviewing the existing literature in a particular area should be more convenient and comprehensive.
Female,30-40,Academics,Others,Part time,First stage (Coursework),No iam pursuing now,Pvt Univ. ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Qualitative research approach,Case Study,2,2,2,3,3,3,3,3,3,3,3,3,On Track,5,5,5,5,Nothing 
Male,GT 50yrs,Academics,Mgmt,Part time,First stage (Coursework),No,Pvt Univ. ,5,3,3,3,4,5,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,Others,Content Analysis,3,3,3,3,3,3,3,3,3,3,4,2,Delayed 1 yr,3,3,4,1,No
Female,41-50,Academics,Mgmt,Full Time,"Final stage (Thesis writing, submission and viva)",not yet,Pvt Univ. ,2,5,5,5,5,5,1,1,5,5,4,5,2,4,5,5,4,5,1,5,5,5,5,1,1,Mixed Research Method,Survey,5,5,5,2,4,4,2,5,5,5,5,5,On Track,5,5,5,1,"Universities should provide proper training on the research methodology to the scholars. Work has to be evaluated by the research supervisor at least 3 monthly once. Supervisors should give some inputs, that what exactly they are expecting from the scholars. Supervisors must maintain communication with the scholars, rather blaming the scholars. Scholars need a coordinator who can help them in the research process. Documentation 
 related procedures has to be maintained properly. Its better If universities maintain Scopus/WOS/ABDC journals, so that It will be easier to the scholar to get publish the papers. "
Male,30-40,Academics,Mgmt,Part time,First stage (Coursework),NA,Pvt Univ. ,4,5,3,5,3,3,1,1,1,3,4,2,3,2,3,4,5,3,3,3,3,3,5,2,2,Qualitative research approach;Quantitative research approach  (psychometrics),Case Study;Survey;Ethnography;Interview;Content Analysis,2,3,3,3,3,3,3,3,3,3,3,3,On Track,3,4,5,5,Design thinking and ideation to be inculcated in research scholars
Male,LT 30yrs,Industry,Mgmt,Full Time,Completed Ph.D,2022,Pvt Univ. ,5,5,5,4,5,3,1,1,3,2,4,3,1,2,4,3,3,3,4,3,4,4,5,4,3,Mixed Research Method,Survey,4,5,4,5,4,5,4,5,4,5,4,5,On Track,5,5,5,5, 
Female,41-50,Academics,Mgmt,Part time,First stage (Coursework),No,Pvt Univ. ,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Mixed Research Method,Survey,2,2,2,2,2,2,2,2,2,2,2,2,On Track,5,5,5,5,Write own thesis 
Male,30-40,Industry,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)",Nil,State Univ. ,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Mixed Research Method,Survey;Interview,5,5,5,5,5,5,5,5,5,5,5,5,On Track,5,5,5,5,Nil
Male,41-50,Academics,Mgmt,Part time,"Final stage (Thesis writing, submission and viva)",NA,State Univ. ,4,4,4,4,5,4,1,1,5,4,3,3,3,3,3,3,4,3,3,3,3,3,2,2,1,Mixed Research Method,Survey;Interview,2,2,3,3,3,3,3,4,4,4,3,3,On Track,3,3,2,1,Don't make it compulsory. It will ruin the basic objective of a doctoral degree. 
Female,30-40,Academics,Mgmt,Part time,First stage (Coursework),Joined in 2021 for PhD,Pvt Univ. ,4,5,4,5,5,5,1,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Qualitative research approach;Quantitative research approach  (econometrics);Mixed Research Method,Case Study;Experimental;Interview;Content Analysis,5,5,4,4,4,4,4,4,4,4,4,4,On Track,4,4,4,3,More guidelines about  how to find research areas not covered by other research scholar 
Male,GT 50yrs,Industry,Mgmt,Part time,First stage (Coursework),No not yet,Pvt Univ. ,5,4,4,5,4,4,1,1,1,3,1,1,1,4,5,3,5,4,4,4,4,3,4,4,4,Qualitative research approach;Quantitative research approach  (psychometrics);Quantitative research approach  (econometrics);Mixed Research Method,Case Study;Survey;Interview;Content Analysis,4,3,3,2,4,3,3,3,5,4,5,4,On Track,3,4,3,2,More collaboration required among students & University 
Female,30-40,Industry,Mgmt,Full Time,"Final stage (Thesis writing, submission and viva)",NA,Pvt Univ. ,5,4,4,4,4,4,2,2,2,4,4,4,2,4,4,2,4,3,3,4,3,3,2,2,2,Mixed Research Method,Survey;Interview;Content Analysis,4,4,4,4,4,4,4,4,4,4,3,4,Delayed 1 yr,2,2,1,2,Better research methodology induction
Male,30-40,Industry,Mgmt,Part time,Third stage (Data collection and analysis),No,Pvt Univ. ,5,3,5,5,5,4,1,1,1,1,1,1,1,1,5,5,5,5,1,1,5,5,5,1,1,Quantitative research approach  (psychometrics),Survey,5,5,5,2,5,5,5,5,5,5,5,5,On Track,4,4,5,3,I am able to answer this question post completion of my phd
Male,30-40,Industry,Mgmt,Part time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",Pursuing ,Pvt Univ. ,5,4,3,3,3,3,2,3,5,4,1,1,5,2,4,4,5,4,4,4,4,4,5,4,5,Qualitative research approach;Quantitative research approach  (psychometrics);Quantitative research approach  (econometrics);Mixed Research Method,Case Study;Survey;Content Analysis,4,3,4,3,4,4,4,4,2,4,3,3,Delayed 2 yrs,4,4,3,4,More connection and hand holding with research scholar will help .
Male,41-50,Industry,Mgmt,Part time,First stage (Coursework),No,Pvt Univ. ,5,5,5,5,5,5,3,1,5,3,3,3,2,3,4,2,2,5,5,5,5,5,5,5,5,Qualitative research approach;Quantitative research approach  (econometrics);Mixed Research Method;Machine Learning / AI approach,Case Study;Survey;Interview;Content Analysis,5,5,5,5,5,5,3,5,5,5,5,5,On Track,4,1,4,1,to provide free access to databases like Scopus to research scholars. 
Female,30-40,Academics,STEM,Full Time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",No,Pvt Univ. ,5,4,5,5,5,5,4,5,4,4,5,4,3,3,4,4,3,5,4,5,4,5,5,5,4,Mixed Research Method,Experimental,2,2,3,3,3,2,3,3,3,2,3,3,On Track,5,4,3,2,"PhD program is very important plateform to learn and explore our knowledge, suggest to all to do it."
Male,41-50,Industry,Mgmt,Part time,First stage (Coursework),Not Applicable,Pvt Univ. ,5,5,5,4,4,5,1,1,1,5,1,1,1,4,3,5,5,4,5,4,5,5,5,3,5,Qualitative research approach;Mixed Research Method;Machine Learning / AI approach,Case Study;Survey;Interview,3,5,5,3,5,3,3,5,5,5,3,3,On Track,1,1,3,1,More industry connect and awareness of Part time PhD
Female,LT 30yrs,Academics,Mgmt,Full Time,First stage (Coursework),NA,Pvt Univ. ,3,3,4,3,3,3,1,1,1,3,5,5,4,2,3,3,4,4,4,4,4,4,4,4,3,Qualitative research approach;Quantitative research approach  (econometrics);Mixed Research Method;Machine Learning / AI approach,Case Study;Experimental;Survey;Interview;Content Analysis;Others,1,2,2,2,2,2,2,2,2,1,2,2,On Track,3,3,3,3,NA
Female,LT 30yrs,Others,Mgmt,Part time,First stage (Coursework),2026,Pvt Univ. ,4,4,4,4,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,4,3,3,3,4,4,Others,Others,2,1,3,1,2,3,2,1,2,2,2,2,Delayed 1 yr,4,4,4,3,Nothing 
Male,30-40,Academics,Mgmt,Part time,Completed Ph.D,2017,State Univ. ,3,2,3,5,5,5,1,2,1,3,5,5,4,2,3,3,3,5,4,3,4,3,4,2,4,Quantitative research approach  (psychometrics),Survey,4,2,2,2,2,2,2,2,4,4,3,2,Delayed 2 yrs,4,4,5,4,"1. Supervisors should be trained periodically. 
2. Institution may encourage knowledge-sharing among the scholars and guides. 
3. One-man supervisorship should be replaced with the panel of supervisors.
4. The panel of supervisors or Doctoral Committee should be the competent body to Qualify the thesis. Mere publication may not be the suitable indicator of quality of thesis.
5. Above all, the research philosophy should be taught as a separate course irrespective of the domain.
"
